"Event","From","To","LengthMeters","DelaySeconds","Magnitude","PointCount","StartLongitude","StartLatitude","EndLongitude","EndLatitude"
"Stationary traffic","Houghton Road (M6)","Lower Kloof Road (M6)","753","322","3","37","18,3766252916","-33,9562551213","18,3788756650","-33,9498754866"
"Queuing traffic","Lower Kloof Road (M6)","Houghton Road (M6)","637","226","2","30","18,3790607374","-33,9491982607","18,3765944462","-33,9545210833"
"Queuing traffic","Beach Road (Church Road)","Regent Street (Church Road)","98","84","2","4","18,3856737237","-33,9183944317","18,3863255005","-33,9190931170"
"Stationary traffic","Kloof Road","High Level Road","271","201","3","5","18,3873353522","-33,9186693158","18,3898177367","-33,9199635269"
"Queuing traffic","Main Road (M61) / Rhine Road","High Level Road","102","86","2","2","18,4001522880","-33,9113227465","18,4000610929","-33,9104094675"
"Queuing traffic","Signal Hill","Camps Bay Drive (M62) / Kloof Road","1097","324","2","58","18,4027298909","-33,9175777034","18,3984101932","-33,9215151353"
"Stationary traffic","Camps Bay Drive (M62) / Kloof Road","Signal Hill","1117","424","3","60","18,3984115344","-33,9215165263","18,4026588123","-33,9177385874"
"Stationary traffic","Krynauw Street","Kloof Street","132","309","3","3","18,4099141877","-33,9327160914","18,4087501090","-33,9320321223"
"Slow traffic","Mill Street (M3) / Upper Maynard Road","Vredehoek Avenue","276","62","1","5","18,4197511893","-33,9344367347","18,4198249500","-33,9366978165"
"Queuing traffic","Buitengracht Street (M62)","Loop Street","182","83","2","6","18,4213712435","-33,9168547999","18,4228182953","-33,9179706271"
"Slow traffic","Plein Street (Roeland Street)","Lower Plein Street (Roeland Street)","611","214","1","18","18,4202245992","-33,9270834573","18,4245040637","-33,9228911660"
"Slow traffic","Riebeek Street (Adderley Street)","Darling Street (Adderley Street)","380","136","1","21","18,4245308857","-33,9209975183","18,4217279773","-33,9234906338"
"Stationary traffic","Steenberg Road (M42) / Catharina Avenue","Swaaneweide Avenue","87","182","3","19","18,4282041710","-34,0748490057","18,4276073795","-34,0742562287"
"Stationary traffic","Christiaan Barnard Street (M60)","Foreshore","268","475","3","13","18,4308059137","-33,9238862427","18,4286199134","-33,9227503228"
"Stationary traffic","Christiaan Barnard Street (M60)","Christiaan Barnard Street (M60) / Martin Hammerschlag Way","258","153","3","8","18,4326874834","-33,9217230297","18,4319914501","-33,9200761356"
"Slow traffic","Christiaan Barnard Street (M60)","Christiaan Barnard Street (M60)","437","139","1","15","18,4333593767","-33,9199098308","18,4326874834","-33,9217230297"
"Stationary traffic","Ficus Street / Flamingo Street","Keurboom Avenue","156","189","3","6","18,4363433343","-34,0743273233","18,4346763413","-34,0744399359"
"Stationary traffic","Sir Lowry Road (M4) / Searle Street","Sir Lowry Road (M4)","95","159","3","5","18,4389236193","-33,9285680314","18,4389383715","-33,9277123841"
"Slow traffic","Warwick Street","Protea Road (M33)","346","162","1","21","18,4640183669","-33,9808362661","18,4635784846","-33,9778468816"
"Queuing traffic","Cavendish Street","Main Road (M4) / Hawthorne Road","271","171","2","11","18,4620965641","-33,9796855369","18,4650188308","-33,9794267666"
"Queuing traffic","Main Road (M4) / Claremont Boulevard","Protea Road (M33)","370","183","2","14","18,4660742801","-33,9793234807","18,4620965641","-33,9796855369"
"Stationary traffic","Boundary Road (De Waal Road/M38)","Victoria Road (Victoria Road/M38)","397","139","3","9","18,4619275849","-34,0342524648","18,4662070494","-34,0346708279"
"Queuing traffic","Summerley Road (M4)","Constantia Road (M4)","789","185","2","29","18,4688061100","-34,0014771713","18,4690676253","-34,0085233709"
"Stationary traffic","Main Road (M4)","Wetton Road (M9) / Apenide Road","203","164","3","7","18,4692003947","-34,0054562343","18,4708955508","-34,0047695840"
"Slow traffic","Main Road (M4)","Wetton Road (M9) / Apenide Road","183","82","1","7","18,4692540389","-34,0041312209","18,4712388735","-34,0041526920"
"Queuing traffic","Rosmead Avenue (M28) / Electricity Road","Main Road (M4)","260","108","2","9","18,4716371816","-34,0041835436","18,4692258757","-34,0047870248"
"Stationary traffic","Wetton Road (M9) / Apenide Road","Main Road (M4) / Lower Maynard Road","244","172","3","13","18,4716921669","-34,0027203706","18,4708955508","-34,0047695840"
"Stationary traffic","Cook Road (Lansdowne Road)","Palmyra Road (Stanhope Road)","769","232","3","28","18,4763297063","-33,9839100603","18,4682844203","-33,9829498113"
"Stationary traffic","Main Road (Military Road)","Prince George Drive (Military Road)","1124","513","3","32","18,4673389416","-34,0755343251","18,4795255583","-34,0750876982"
"Queuing traffic","Depsiton Crescent (Military Road)","Main Road (Military Road)","583","154","2","21","18,4803087633","-34,0750984595","18,4739988666","-34,0753022988"
"Stationary traffic","Concert Boulevard (M5)","Military Road (M5)","445","112","3","15","18,4815573316","-34,0714855073","18,4795255583","-34,0750876982"
"Stationary traffic","Berkshire Boulevard","Sunningdale","26","88","3","2","18,4847008806","-33,7875294312","18,4847652536","-33,7877561126"
"Stationary traffic","Wemyss Street","Brooklyn","50","124","3","6","18,4864134710","-33,9027866255","18,4863490980","-33,9032292195"
"Stationary traffic","Punters Way","Chichester Road (M24) / Race Course Road (M24)","189","155","3","7","18,4859776121","-33,9897814106","18,4873348098","-33,9885421920"
"Stationary traffic","Main Road - Kendal Road (Kendal Road/M38)","Victoria Road (Victoria Road/M38)","1035","414","3","45","18,4768634658","-34,0374590061","18,4878685694","-34,0363861438"
"Slow traffic","Berg Street","Vrygrond Avenue","234","97","1","11","18,4884599965","-34,0830056200","18,4890272837","-34,0836037506"
"Queuing traffic","Parklands Main Road (Raats Drive)","Blaauwberg Road - M14 (Raats Drive)","229","165","2","23","18,4910174828","-33,8231008862","18,4903710705","-33,8249985872"
"Stationary traffic","Lansdowne [15]","Race Course Road (M24)","109","75","3","7","18,4910939258","-33,9876356487","18,4913889688","-33,9885596361"
"Queuing traffic","Belvedere Road (M24)","Prince Arthur Road (M24)","946","324","2","33","18,4850911420","-33,9873513268","18,4947470945","-33,9894568568"
"Slow traffic","De Grendel Road","Mansveldt Road","129","84","1","6","18,4962169450","-33,8839561658","18,4966943782","-33,8828632043"
"Queuing traffic","Italian Road (5th Avenue)","Victoria Road (5th Avenue)","814","159","2","20","18,4897756200","-34,0533953794","18,4967212003","-34,0488745011"
"Slow traffic","Klip Road (Victoria Road)","Rooikrans Avenue (Victoria Road)","731","140","1","23","18,4921668094","-34,0440371625","18,4970484298","-34,0492245240"
"Queuing traffic","Hillview Road","Klipfontein Road (M18) / Eike Avenue","167","64","2","5","18,4997145456","-33,9576230821","18,4992800277","-33,9590647148"
"Queuing traffic","Milner Road (Kromboom Road)","Jan Smuts Drive (Kromboom Road)","1071","258","2","24","18,4933402758","-33,9724181231","18,5048576813","-33,9736666827"
"Stationary traffic","Lansdowne Road / Flamingo Crescent","Rompe Street","331","181","3","3","18,5048684102","-33,9909105983","18,5042541843","-33,9938181457"
"Stationary traffic","Wandsworth Way","Wood Drive","361","153","3","10","18,5072274130","-33,8009565838","18,5033382099","-33,8010276284"
"Stationary traffic","Zeus Drive","Koeberg Road (M5) / Freedom Way","129","82","3","3","18,5080280524","-33,8712707016","18,5075680536","-33,8723649948"
"Queuing traffic","Century Way","North Bank Lane","323","163","2","33","18,5107102614","-33,8887747854","18,5106445473","-33,8910143965"
"Queuing traffic","Charente Crescent / Tourmalet Street","Koeberg Road / Tryall Road","915","211","2","19","18,5124858838","-33,7876541269","18,5132918876","-33,7897475946"
"Stationary traffic","Century City","Waterstone Isles Road","57","65","3","2","18,5146101933","-33,8859074852","18,5148985308","-33,8863634569"
"Stationary traffic","Bridge Place","Century City Drive (N1)","157","150","3","5","18,5173219066","-33,8908320319","18,5161631923","-33,8918647069"
"Queuing traffic","Ventura Street","Glider Crescent / Lugmag Avenue","203","136","2","5","18,5216670852","-33,9027303445","18,5200644654","-33,9024419822"
