"Route","Success","ProductionRiskScore","ProductionRiskLevel","ScopedIncidentCount","ScopedCriticalCount","BalancedRiskScore","ProviderWeightedScore","AverageProviderWeight","AverageFreshnessWeight","StaleProviderIncidents","AverageTypeSeverityWeight","TypeSeverityWeightedIncidents","TypeSeverityWeightedCritical","TypeSeverityWeightedScore","TypeSeverityWeightedLevel","MidpointAverageCongestion","RouteAverageCongestion","RouteP75Congestion","RouteMaximumCongestion","CongestionDifference","CongestionReductionPercent","RouteCandidateTrafficScore","RouteCandidateTrafficLevel","RouteCandidateCongestionInput","RouteCandidateIncidentInput","RouteCandidateCriticalInput","AverageCongestion","AverageDelay","Error"
"Ottery to Bishop Lavis","True","100","critical","42","25","82","76","0,64","0,985","3","0,721","20,91","17,56","74","high","80","60","63","67","-20","25","65","high","63","20,91","17,56","80","20",
"Bishop Lavis to Ottery","True","100","critical","42","25","82","76","0,64","0,985","3","0,721","20,91","17,56","74","high","80","61","67","70","-19","23,8","67","high","67","20,91","17,56","80","20",
"Cape Town CBD to Airport","True","100","critical","44","27","83","76","0,633","0,985","3","0,732","21,82","18,48","75","high","80","65","68","76","-15","18,8","69","high","68","21,82","18,48","80","20",
"Bellville to Mitchells Plain","True","100","critical","30","18","79","72","0,64","0,978","3","0,73","15,04","12,5","71","high","82","61","61","66","-21","25,6","59","medium","61","15,04","12,5","82","21",
"Claremont to Century City","True","100","critical","41","24","81","74","0,621","0,984","3","0,716","19,55","16,2","73","high","79","62","63","69","-17","21,5","64","medium","63","19,55","16,2","79","20",
"Parow to Cape Town CBD","True","100","critical","35","19","78","70","0,59","0,981","3","0,693","15,47","12,56","69","high","78","63","74","76","-15","19,2","67","high","74","15,47","12,56","78","20",
"Goodwood to Wynberg","True","100","critical","41","24","82","75","0,621","0,984","3","0,716","19,55","16,2","73","high","80","57","60","69","-23","28,7","62","medium","60","19,55","16,2","80","20",
"Kuils River to Cape Town CBD","True","100","critical","42","25","81","74","0,64","0,985","3","0,721","20,91","17,56","73","high","78","59","59","76","-19","24,4","63","medium","59","20,91","17,56","78","20",
"Durbanville to Airport","True","100","critical","11","7","65","61","0,625","1","0","0,765","5,56","4,72","60","medium","81","54","58","65","-27","33,3","48","medium","58","5,56","4,72","81","20",
"Muizenberg to Century City","True","100","critical","39","23","81","73","0,628","0,983","3","0,72","18,93","15,74","72","high","79","58","58","68","-21","26,6","61","medium","58","18,93","15,74","79","20",
