"Route","Success","ProductionRiskScore","ProductionRiskLevel","ScopedIncidentCount","ScopedCriticalCount","BalancedRiskScore","ProviderWeightedScore","AverageProviderWeight","AverageFreshnessWeight","StaleProviderIncidents","AverageTypeSeverityWeight","TypeSeverityWeightedIncidents","TypeSeverityWeightedCritical","TypeSeverityWeightedScore","TypeSeverityWeightedLevel","MidpointAverageCongestion","RouteAverageCongestion","RouteP75Congestion","RouteMaximumCongestion","CongestionDifference","CongestionReductionPercent","RouteCandidateTrafficScore","RouteCandidateTrafficLevel","RouteCandidateCongestionInput","RouteCandidateIncidentInput","RouteCandidateCriticalInput","CompositeCandidateScore","CompositeCandidateLevel","CompositeRouteScore","CompositeTypeSeverityScore","CompositeProviderScore","AverageCongestion","AverageDelay","Error"
"Ottery to Bishop Lavis","True","100","critical","40","24","84","77","0,656","0,984","3","0,72","20,23","16,79","76","high","84","58","60","63","-26","31","63","medium","60","20,23","16,79","71","high","63","76","77","84","21",
"Bishop Lavis to Ottery","True","100","critical","40","24","84","77","0,656","0,984","3","0,72","20,23","16,79","76","high","84","57","58","62","-27","32,1","62","medium","58","20,23","16,79","71","high","62","76","77","84","21",
"Cape Town CBD to Airport","True","100","critical","43","27","83","77","0,651","0,985","3","0,736","21,91","18,48","76","high","81","63","65","74","-18","22,2","67","high","65","21,91","18,48","73","high","67","76","77","81","21",
"Bellville to Mitchells Plain","True","100","critical","30","17","80","73","0,651","0,978","3","0,716","14,88","11,74","72","high","85","63","68","69","-22","25,9","63","medium","68","14,88","11,74","69","high","63","72","73","85","21",
"Claremont to Century City","True","100","critical","38","24","82","74","0,64","0,983","3","0,73","18,95","16,2","73","high","80","60","64","66","-20","25","64","medium","64","18,95","16,2","70","high","64","73","74","80","20",
"Parow to Cape Town CBD","True","100","critical","31","19","78","70","0,604","0,979","3","0,713","14,44","12,56","69","high","79","60","72","74","-19","24,1","65","high","72","14,44","12,56","68","high","65","69","70","79","20",
"Goodwood to Wynberg","True","100","critical","40","24","82","75","0,64","0,984","3","0,721","19,64","16,2","74","high","81","57","60","67","-24","29,6","62","medium","60","19,64","16,2","69","high","62","74","75","81","21",
"Kuils River to Cape Town CBD","True","100","critical","43","25","83","77","0,651","0,985","3","0,717","21,51","17,56","75","high","81","59","63","74","-22","27,2","65","high","63","21,51","17,56","72","high","65","75","77","81","20",
"Durbanville to Airport","True","100","critical","13","7","67","63","0,628","1","0","0,73","6,25","4,72","62","medium","83","54","62","62","-29","34,9","50","medium","62","6,25","4,72","57","medium","50","62","63","83","21",
"Muizenberg to Century City","True","100","critical","38","23","82","75","0,649","0,983","3","0,724","19,01","15,74","74","high","81","57","56","60","-24","29,6","60","medium","56","19,01","15,74","69","high","60","74","75","81","20",
