"Route","Auth","Permission","RateLimit","Validation","OrgScoped"
"C:\Users\cameron\harborguard\app\api\batches\route.ts","True","True","False","True","True"
"C:\Users\cameron\harborguard\app\api\billing\professional\route.ts","True","True","False","False","True"
"C:\Users\cameron\harborguard\app\api\copilot\route.ts","True","False","True","False","True"
"C:\Users\cameron\harborguard\app\api\fleet\acknowledge-alert\route.ts","True","True","False","False","True"
"C:\Users\cameron\harborguard\app\api\fleet\alerts\route.ts","True","False","False","False","True"
"C:\Users\cameron\harborguard\app\api\fleet\detect-risks\route.ts","True","False","True","False","True"
"C:\Users\cameron\harborguard\app\api\fleet\live\route.ts","True","False","True","False","True"
"C:\Users\cameron\harborguard\app\api\fleet\notify-alert\route.ts","True","True","True","False","False"
"C:\Users\cameron\harborguard\app\api\fleet\panic\route.ts","True","False","True","False","True"
"C:\Users\cameron\harborguard\app\api\fleet\predict-threats\route.ts","True","False","True","False","True"
"C:\Users\cameron\harborguard\app\api\fleet\replay\route.ts","True","False","False","False","True"
"C:\Users\cameron\harborguard\app\api\fleet\resolve-alert\route.ts","True","True","False","False","True"
"C:\Users\cameron\harborguard\app\api\fleet\start-trip\route.ts","True","False","False","False","True"
"C:\Users\cameron\harborguard\app\api\fleet\trips\route.ts","True","False","False","False","True"
"C:\Users\cameron\harborguard\app\api\fleet\update-location\route.ts","True","True","True","False","True"
"C:\Users\cameron\harborguard\app\api\fleet\vehicles\route.ts","True","False","False","False","True"
"C:\Users\cameron\harborguard\app\api\fleet\vehicles\[id]\route.ts","True","True","False","True","True"
"C:\Users\cameron\harborguard\app\api\geofences\route.ts","True","True","False","False","True"
"C:\Users\cameron\harborguard\app\api\incidents\resolve\route.ts","True","False","False","False","True"
"C:\Users\cameron\harborguard\app\api\payfast\notify\route.ts","False","False","False","False","True"
"C:\Users\cameron\harborguard\app\api\push\test\route.ts","True","False","False","False","False"
"C:\Users\cameron\harborguard\app\api\reports\cron\route.ts","True","False","False","True","False"
"C:\Users\cameron\harborguard\app\api\reports\retry\route.ts","True","True","True","True","True"
"C:\Users\cameron\harborguard\app\api\reports\retry-one\route.ts","True","True","False","True","True"
"C:\Users\cameron\harborguard\app\api\reports\run\route.ts","True","True","False","True","True"
"C:\Users\cameron\harborguard\app\api\reports\scheduled\route.ts","True","False","False","False","False"
"C:\Users\cameron\harborguard\app\api\reports\send\route.ts","True","True","False","False","True"
"C:\Users\cameron\harborguard\app\api\reports\toggle-subscription\route.ts","True","True","False","True","True"
"C:\Users\cameron\harborguard\app\api\road-incidents\route.ts","True","False","False","False","True"
